9.10,264003.88,309511.38,596.06
9.20,264003.99,309511.62,596.17
9.30,264004.09,309511.86,596.26
9.40,264004.21,309512.10,596.33
9.50,264004.32,309512.33,596.40
9.60,264004.45,309512.55,596.48
9.70,264004.57,309512.78,596.54
9.80,264004.67,309512.99,596.62
9.90,264004.78,309513.20,596.71
10.00,264004.89,309513.41,596.81
10.10,264005.01,309513.63,596.90
10.20,264005.14,309513.84,596.99
10.30,264005.27,309514.05,597.08
10.40,264005.39,309514.28,597.18
10.50,264005.52,309514.52,597.28
10.60,264005.63,309514.74,597.38
10.70,264005.73,309514.97,597.50
10.80,264005.82,309515.20,597.61
10.90,264005.92,309515.43,597.71
11.00,264006.02,309515.65,597.80
11.10,264006.14,309515.86,597.89
11.20,264006.27,309516.07,597.99
11.30,264006.39,309516.29,598.08
11.40,264006.50,309516.51,598.18
11.50,264006.62,309516.73,598.27
11.60,264006.73,309516.94,598.36
11.70,264006.85,309517.16,598.44
11.80,264006.98,309517.36,598.53
11.90,264007.11,309517.57,598.62
12.00,264007.24,309517.78,598.72
12.10,264007.37,309517.98,598.83
12.20,264007.50,309518.19,598.93
12.30,264007.63,309518.39,599.03
12.40,264007.75,309518.59,599.12
12.50,264007.89,309518.79,599.18
12.60,264008.03,309518.99,599.25
12.70,264008.17,309519.19,599.32
12.80,264008.30,309519.39,599.40
12.90,264008.41,309519.59,599.49
13.00,264008.52,309519.79,599.59
13.10,264008.61,309520.00,599.70
13.20,264008.71,309520.22,599.80
13.30,264008.81,309520.43,599.91
13.40,264008.92,309520.65,600.02
13.50,264009.01,309520.88,600.12
13.60,264009.11,309521.11,600.24
13.70,264009.21,309521.35,600.35
13.80,264009.32,309521.59,600.47
13.90,264009.43,309521.84,600.60
14.00,264009.53,309522.09,600.73
14.10,264009.62,309522.35,600.86
14.20,264009.73,309522.60,600.98
14.30,264009.85,309522.82,601.11
14.40,264009.98,309523.03,601.25
14.50,264010.10,309523.23,601.39
14.60,264010.24,309523.41,601.52
14.70,264010.39,309523.59,601.65
